year,season,acquirer,trade,star,acq_spend_tier,acq_payroll_cap_ratio,salaries_aggregated,took_back_more,sign_and_trade,cash,picks_out,relies_on_restricted_mechanism,verdict,reason,detail
2007,2007-08,BOS,Celtics acquire Kevin Garnett,Kevin Garnett,apron1,1.339,5,True,False,False,2,True,LEGAL,no apron restriction is triggered at this spending level,"Boston sent 5 salaries (Al Jefferson, Gomes, Green, Telfair, Ratliff) + picks for KG — textbook aggregation."
2007,2007-08,BOS,Celtics acquire Ray Allen,Ray Allen,apron1,1.339,2,False,False,False,1,True,LEGAL,no apron restriction is triggered at this spending level,Draft-night deal: Wally Szczerbiak + Delonte West + #5 pick for Ray Allen.
2008,2007-08,LAL,Lakers acquire Pau Gasol,Pau Gasol,apron1,1.324,2,True,False,False,2,True,LEGAL,no apron restriction is triggered at this spending level,Kwame Brown + Crittenton + 2 firsts + Marc Gasol rights; salaries aggregated to match Pau.
2011,2010-11,NYK,Knicks acquire Carmelo Anthony,Carmelo Anthony,tax,1.155,4,True,False,False,3,True,LEGAL,no apron restriction is triggered at this spending level,"Felton, Gallinari, Chandler, Mozgov + firsts — heavy aggregation of matching salaries."
2011,2011-12,LAC,Clippers acquire Chris Paul,Chris Paul,tax,1.16,3,False,False,False,1,True,LEGAL,no apron restriction is triggered at this spending level,Gordon + Kaman + Aminu + MIN 1st for CP3 after the league vetoed the Lakers version.
2012,2012-13,LAL,Lakers acquire Steve Nash,Steve Nash,apron2,1.731,0,True,True,False,4,True,ILLEGAL,2nd-apron team can't take back more salary than it sends; apron team can't acquire via sign-and-trade,Sign-and-trade: Nash to LA for 2013+2015 firsts and 2013+2014 seconds.
2012,2012-13,LAL,Lakers acquire Dwight Howard,Dwight Howard,apron2,1.731,2,False,False,False,1,True,ILLEGAL,2nd-apron team can't aggregate 2 salaries,"4-team deal; Bynum out to Philadelphia, matching salaries combined."
2013,2013-14,BRK,Nets acquire Garnett & Pierce,Kevin Garnett + Paul Pierce,apron2,1.749,3,True,False,False,4,True,ILLEGAL,2nd-apron team can't aggregate 3 salaries; 2nd-apron team can't take back more salary than it sends,Nets aggregated Humphries/Wallace/Bogans + FOUR unprotected firsts; the archetype ruinous deal.
2013,2012-13,HOU,Rockets acquire James Harden,James Harden,under,0.988,2,False,False,False,2,True,LEGAL,no apron restriction is triggered at this spending level,Kevin Martin + Jeremy Lamb + 2 firsts + 2nd; Houston was well under the tax.
2017,2017-18,OKC,Thunder acquire Paul George,Paul George,apron1,1.35,2,False,False,False,0,True,LEGAL,no apron restriction is triggered at this spending level,Victor Oladipo + Domantas Sabonis combined to match PG's salary.
2017,2017-18,MIN,Wolves acquire Jimmy Butler,Jimmy Butler,under,1.061,2,False,False,False,1,True,LEGAL,no apron restriction is triggered at this spending level,Draft-night: LaVine + Dunn + #7 for Butler + #16.
2019,2019-20,LAL,Lakers acquire Anthony Davis,Anthony Davis,tax,1.149,3,True,False,False,3,True,LEGAL,no apron restriction is triggered at this spending level,Ingram + Ball + Hart aggregated + three firsts + swaps for AD.
2019,2019-20,LAC,Clippers acquire Paul George,Paul George,tax,1.229,1,False,False,False,7,False,LEGAL,no apron restriction is triggered at this spending level,"SGA + Danilo Gallinari + a record FIVE firsts + two swaps — pick cost, not aggregation."
2021,2020-21,BRK,Nets acquire James Harden,James Harden,apron2,1.526,2,True,False,False,4,True,ILLEGAL,2nd-apron team can't aggregate 2 salaries; 2nd-apron team can't take back more salary than it sends,4-team: Jarrett Allen + Caris LeVert combined + four firsts + swaps; Brooklyn deep in tax.
2022,2022-23,MIN,Wolves acquire Rudy Gobert,Rudy Gobert,tax,1.161,4,True,False,False,5,True,LEGAL,no apron restriction is triggered at this spending level,Beasley + Bolmaro + Vanderbilt + Beverley + Kessler aggregated + FIVE firsts.
2022,2022-23,CLE,Cavaliers acquire Donovan Mitchell,Donovan Mitchell,tax,1.207,3,True,False,False,5,True,LEGAL,no apron restriction is triggered at this spending level,Sexton + Markkanen + Agbaji aggregated + three firsts + two swaps.
2023,2022-23,PHO,Suns acquire Kevin Durant,Kevin Durant,apron2,1.394,3,True,False,False,4,True,ILLEGAL,2nd-apron team can't aggregate 3 salaries; 2nd-apron team can't take back more salary than it sends,Bridges + Cam Johnson + Crowder aggregated + four firsts; Phoenix went to apron-2 level.
2023,2023-24,MIL,Bucks acquire Damian Lillard,Damian Lillard,apron1,1.34,2,True,False,False,1,True,LEGAL,no apron restriction is triggered at this spending level,3-team: Jrue Holiday + Grayson Allen combined for Dame; Milwaukee at apron level.
2024,2024-25,NYK,Knicks acquire Mikal Bridges,Mikal Bridges,apron1,1.343,1,False,False,False,5,False,LEGAL BUT RUINOUS,"legal, but hard-capped and forfeiting 5+ picks with a frozen 7-yr pick","Post-apron era: FIVE firsts, single-salary match (Bogdanovic) — pick-heavy, aggregation avoided."
2025,2024-25,LAL,Lakers acquire Luka Doncic,Luka Doncic,apron1,1.339,1,False,False,False,1,False,LEGAL,no apron restriction is triggered at this spending level,"Post-apron era: straight-up AD-for-Luka, single salaries matched — no aggregation needed."
